RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Sep 17 22:47:46 2019
elapsed time: 3.8e-08s
Source: /app/node0/item-22001 | Message ID: 1 | Time sentFromSrcR: 1.156800 | Time receivedFromSrcR: 1.156853 |End 
Source: /app/node1/item-22001 | Message ID: 1 | Time sentFromSrcR: 1.156800 | Time receivedFromSrcR: 1.156855 |End 
Source: /app/node3/item-22001 | Message ID: 1 | Time sentFromSrcR: 1.156837 | Time receivedFromSrcR: 1.156893 |End 
Source: /app/node0/item-22002 | Message ID: 2 | Time sentFromSrcR: 1.170640 | Time receivedFromSrcR: 1.170693 |End 
Source: /app/node1/item-22002 | Message ID: 2 | Time sentFromSrcR: 1.170640 | Time receivedFromSrcR: 1.170695 |End 
Source: /app/node3/item-22002 | Message ID: 2 | Time sentFromSrcR: 1.170677 | Time receivedFromSrcR: 1.170733 |End 
Source: /app/node0/item-22003 | Message ID: 3 | Time sentFromSrcR: 2.256800 | Time receivedFromSrcR: 2.256853 |End 
Source: /app/node1/item-22003 | Message ID: 3 | Time sentFromSrcR: 2.256800 | Time receivedFromSrcR: 2.256855 |End 
Source: /app/node3/item-22003 | Message ID: 3 | Time sentFromSrcR: 2.256837 | Time receivedFromSrcR: 2.256892 |End 
Source: /app/node0/item-22004 | Message ID: 4 | Time sentFromSrcR: 3.356800 | Time receivedFromSrcR: 3.356854 |End 
Source: /app/node1/item-22004 | Message ID: 4 | Time sentFromSrcR: 3.356800 | Time receivedFromSrcR: 3.356855 |End 
Source: /app/node3/item-22004 | Message ID: 4 | Time sentFromSrcR: 3.356837 | Time receivedFromSrcR: 3.356893 |End 
Source: /app/node1/item-22005 | Message ID: 5 | Time sentFromSrcR: 4.456800 | Time receivedFromSrcR: 4.456855 |End 
Source: /app/node0/item-22005 | Message ID: 5 | Time sentFromSrcR: 4.456800 | Time receivedFromSrcR: 4.456856 |End 
Source: /app/node3/item-22005 | Message ID: 5 | Time sentFromSrcR: 4.456838 | Time receivedFromSrcR: 4.456894 |End 
Source: /app/node1/item-22006 | Message ID: 6 | Time sentFromSrcR: 5.556800 | Time receivedFromSrcR: 5.556855 |End 
Source: /app/node0/item-22006 | Message ID: 6 | Time sentFromSrcR: 5.556800 | Time receivedFromSrcR: 5.556859 |End 
Source: /app/node3/item-22006 | Message ID: 6 | Time sentFromSrcR: 5.556839 | Time receivedFromSrcR: 5.556894 |End 
Source: /app/node1/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.656800 | Time receivedFromSrcR: 6.656855 |End 
Source: /app/node0/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.656800 | Time receivedFromSrcR: 6.656863 |End 
Source: /app/node3/item-22007 | Message ID: 7 | Time sentFromSrcR: 6.656839 | Time receivedFromSrcR: 6.656894 |End 
Source: /app/node1/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.206800 | Time receivedFromSrcR: 7.206855 |End 
Source: /app/node0/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.206800 | Time receivedFromSrcR: 7.206865 |End 
Source: /app/node3/item-22008 | Message ID: 8 | Time sentFromSrcR: 7.206839 | Time receivedFromSrcR: 7.206894 |End 
Source: /app/node1/item-22009 | Message ID: 9 | Time sentFromSrcR: 8.306800 | Time receivedFromSrcR: 8.306855 |End 
Source: /app/node0/item-22009 | Message ID: 9 | Time sentFromSrcR: 8.306800 | Time receivedFromSrcR: 8.306871 |End 
Source: /app/node3/item-22009 | Message ID: 9 | Time sentFromSrcR: 8.306839 | Time receivedFromSrcR: 8.306894 |End 
Source: /app/node1/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.406800 | Time receivedFromSrcR: 9.406855 |End 
Source: /app/node0/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.406800 | Time receivedFromSrcR: 9.406877 |End 
Source: /app/node3/item-22010 | Message ID: 10 | Time sentFromSrcR: 9.406839 | Time receivedFromSrcR: 9.406894 |End 
Source: /app/node1/item-22011 | Message ID: 11 | Time sentFromSrcR: 10.506800 | Time receivedFromSrcR: 10.506855 |End 
Source: /app/node0/item-22011 | Message ID: 11 | Time sentFromSrcR: 10.506800 | Time receivedFromSrcR: 10.506885 |End 
Source: /app/node3/item-22011 | Message ID: 11 | Time sentFromSrcR: 10.506839 | Time receivedFromSrcR: 10.506894 |End 
Source: /app/node1/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.606800 | Time receivedFromSrcR: 11.606855 |End 
Source: /app/node3/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.606839 | Time receivedFromSrcR: 11.606894 |End 
Source: /app/node0/item-22012 | Message ID: 12 | Time sentFromSrcR: 11.606800 | Time receivedFromSrcR: 11.606895 |End 
Source: /app/node0/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.152194 | Time receivedFromSrcR: 12.152295 |End 
Source: /app/node1/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.156800 | Time receivedFromSrcR: 12.156855 |End 
Source: /app/node3/item-22013 | Message ID: 13 | Time sentFromSrcR: 12.156839 | Time receivedFromSrcR: 12.156894 |End 
Source: /app/node1/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.256800 | Time receivedFromSrcR: 13.256855 |End 
Source: /app/node3/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.256800 | Time receivedFromSrcR: 13.256855 |End 
Source: /app/node0/item-22014 | Message ID: 14 | Time sentFromSrcR: 13.378279 | Time receivedFromSrcR: 13.378395 |End 
Source: /app/node1/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.356800 | Time receivedFromSrcR: 14.356855 |End 
Source: /app/node3/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.356800 | Time receivedFromSrcR: 14.356855 |End 
Source: /app/node0/item-22015 | Message ID: 15 | Time sentFromSrcR: 14.478296 | Time receivedFromSrcR: 14.478427 |End 
Source: /app/node1/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.456800 | Time receivedFromSrcR: 15.456855 |End 
Source: /app/node3/item-22016 | Message ID: 16 | Time sentFromSrcR: 15.456800 | Time receivedFromSrcR: 15.456855 |End 
Source: /app/node1/item-22017 | Message ID: 17 | Time sentFromSrcR: 16.556800 | Time receivedFromSrcR: 16.556855 |End 
Source: /app/node3/item-22017 | Message ID: 17 | Time sentFromSrcR: 16.556800 | Time receivedFromSrcR: 16.556855 |End 
Source: /app/node0/item-22017 | Message ID: 17 | Time sentFromSrcR: 17.142185 | Time receivedFromSrcR: 17.142365 |End 
Source: /app/node1/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.656800 | Time receivedFromSrcR: 17.656855 |End 
Source: /app/node3/item-22018 | Message ID: 18 | Time sentFromSrcR: 17.656800 | Time receivedFromSrcR: 17.656855 |End 
Source: /app/node1/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.206800 | Time receivedFromSrcR: 18.206855 |End 
Source: /app/node3/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.206800 | Time receivedFromSrcR: 18.206855 |End 
Source: /app/node0/item-22016 | Message ID: 16 | Time sentFromSrcR: 18.828383 | Time receivedFromSrcR: 18.828598 |End 
Source: /app/node0/item-22018 | Message ID: 18 | Time sentFromSrcR: 18.842223 | Time receivedFromSrcR: 18.842439 |End 
Source: /app/node0/item-22019 | Message ID: 19 | Time sentFromSrcR: 18.856063 | Time receivedFromSrcR: 18.856279 |End 
Source: /app/node3/item-22020 | Message ID: 20 | Time sentFromSrcR: 19.302160 | Time receivedFromSrcR: 19.302215 |End 
Source: /app/node1/item-22020 | Message ID: 20 | Time sentFromSrcR: 19.306800 | Time receivedFromSrcR: 19.306855 |End 
Source: /app/node3/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.392537 | Time receivedFromSrcR: 20.392593 |End 
Source: /app/node1/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.406800 | Time receivedFromSrcR: 20.406855 |End 
Source: /app/node0/item-22021 | Message ID: 21 | Time sentFromSrcR: 20.992267 | Time receivedFromSrcR: 20.992525 |End 
Source: /app/node3/item-22022 | Message ID: 22 | Time sentFromSrcR: 21.492537 | Time receivedFromSrcR: 21.492593 |End 
Source: /app/node1/item-22022 | Message ID: 22 | Time sentFromSrcR: 21.502160 | Time receivedFromSrcR: 21.502215 |End 
Source: /app/node0/item-22020 | Message ID: 20 | Time sentFromSrcR: 21.528436 | Time receivedFromSrcR: 21.528703 |End 
Source: /app/node0/item-22021 | Message ID: 21 | Time sentFromSrcR: 21.542276 | Time receivedFromSrcR: 21.542543 |End 
Source: /app/node0/item-22022 | Message ID: 22 | Time sentFromSrcR: 22.078443 | Time receivedFromSrcR: 22.078718 |End 
Source: /app/node1/item-22023 | Message ID: 23 | Time sentFromSrcR: 22.592480 | Time receivedFromSrcR: 22.592535 |End 
Source: /app/node3/item-22023 | Message ID: 23 | Time sentFromSrcR: 22.592519 | Time receivedFromSrcR: 22.592574 |End 
Source: /app/node1/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.142480 | Time receivedFromSrcR: 23.142535 |End 
Source: /app/node3/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.142519 | Time receivedFromSrcR: 23.142574 |End 
Source: /app/node0/item-22024 | Message ID: 24 | Time sentFromSrcR: 23.706416 | Time receivedFromSrcR: 23.706704 |End 
Source: /app/node1/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.242480 | Time receivedFromSrcR: 24.242534 |End 
Source: /app/node3/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.247139 | Time receivedFromSrcR: 24.247194 |End 
Source: /app/node0/item-22025 | Message ID: 25 | Time sentFromSrcR: 24.256417 | Time receivedFromSrcR: 24.256706 |End 
Source: /app/node1/item-22026 | Message ID: 26 | Time sentFromSrcR: 25.342480 | Time receivedFromSrcR: 25.342534 |End 
Source: /app/node0/item-22023 | Message ID: 23 | Time sentFromSrcR: 25.342577 | Time receivedFromSrcR: 25.342868 |End 
Source: /app/node3/item-22026 | Message ID: 26 | Time sentFromSrcR: 25.347139 | Time receivedFromSrcR: 25.347194 |End 
Source: /app/node1/item-22027 | Message ID: 27 | Time sentFromSrcR: 26.442480 | Time receivedFromSrcR: 26.442533 |End 
Source: /app/node3/item-22027 | Message ID: 27 | Time sentFromSrcR: 26.442519 | Time receivedFromSrcR: 26.442574 |End 
Source: /app/node1/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.542480 | Time receivedFromSrcR: 27.542533 |End 
Source: /app/node3/item-22028 | Message ID: 28 | Time sentFromSrcR: 27.542519 | Time receivedFromSrcR: 27.542574 |End 
Source: /app/node1/item-22029 | Message ID: 29 | Time sentFromSrcR: 28.642480 | Time receivedFromSrcR: 28.642533 |End 
Source: /app/node3/item-22029 | Message ID: 29 | Time sentFromSrcR: 28.652160 | Time receivedFromSrcR: 28.652215 |End 
Source: /app/node1/item-22030 | Message ID: 30 | Time sentFromSrcR: 29.192480 | Time receivedFromSrcR: 29.192533 |End 
Source: /app/node3/item-22030 | Message ID: 30 | Time sentFromSrcR: 29.192519 | Time receivedFromSrcR: 29.192574 |End 
Source: /app/node1/item-22031 | Message ID: 31 | Time sentFromSrcR: 30.292480 | Time receivedFromSrcR: 30.292533 |End 
Source: /app/node3/item-22031 | Message ID: 31 | Time sentFromSrcR: 30.292519 | Time receivedFromSrcR: 30.292574 |End 
Source: /app/node1/item-22032 | Message ID: 32 | Time sentFromSrcR: 31.397538 | Time receivedFromSrcR: 31.397591 |End 
Source: /app/node3/item-22032 | Message ID: 32 | Time sentFromSrcR: 31.402179 | Time receivedFromSrcR: 31.402234 |End 
Source: /app/node1/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.492480 | Time receivedFromSrcR: 32.492533 |End 
Source: /app/node3/item-22033 | Message ID: 33 | Time sentFromSrcR: 32.492519 | Time receivedFromSrcR: 32.492574 |End 
Source: /app/node1/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.592480 | Time receivedFromSrcR: 33.592533 |End 
Source: /app/node3/item-22034 | Message ID: 34 | Time sentFromSrcR: 33.597120 | Time receivedFromSrcR: 33.597175 |End 
Source: /app/node1/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.142480 | Time receivedFromSrcR: 34.142533 |End 
Source: /app/node3/item-22035 | Message ID: 35 | Time sentFromSrcR: 34.142519 | Time receivedFromSrcR: 34.142574 |End 
Source: /app/node3/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.242536 | Time receivedFromSrcR: 35.242591 |End 
Source: /app/node1/item-22036 | Message ID: 36 | Time sentFromSrcR: 35.252160 | Time receivedFromSrcR: 35.252213 |End 
Source: /app/node1/item-22037 | Message ID: 37 | Time sentFromSrcR: 36.342480 | Time receivedFromSrcR: 36.342533 |End 
Source: /app/node3/item-22037 | Message ID: 37 | Time sentFromSrcR: 36.342519 | Time receivedFromSrcR: 36.342574 |End 
Source: /app/node1/item-22038 | Message ID: 38 | Time sentFromSrcR: 37.442480 | Time receivedFromSrcR: 37.442533 |End 
Source: /app/node3/item-22038 | Message ID: 38 | Time sentFromSrcR: 37.442517 | Time receivedFromSrcR: 37.442571 |End 
Source: /app/node1/item-22039 | Message ID: 39 | Time sentFromSrcR: 38.542480 | Time receivedFromSrcR: 38.542533 |End 
Source: /app/node3/item-22039 | Message ID: 39 | Time sentFromSrcR: 38.542517 | Time receivedFromSrcR: 38.542580 |End 
Source: /app/node1/item-22040 | Message ID: 40 | Time sentFromSrcR: 39.642480 | Time receivedFromSrcR: 39.642534 |End 
Source: /app/node3/item-22040 | Message ID: 40 | Time sentFromSrcR: 39.642524 | Time receivedFromSrcR: 39.642611 |End 
Source: /app/node1/item-22041 | Message ID: 41 | Time sentFromSrcR: 40.192480 | Time receivedFromSrcR: 40.192534 |End 
Source: /app/node3/item-22041 | Message ID: 41 | Time sentFromSrcR: 40.192531 | Time receivedFromSrcR: 40.192640 |End 
Source: /app/node1/item-22042 | Message ID: 42 | Time sentFromSrcR: 41.292480 | Time receivedFromSrcR: 41.292535 |End 
Source: /app/node3/item-22042 | Message ID: 42 | Time sentFromSrcR: 41.292561 | Time receivedFromSrcR: 41.292740 |End 
Source: /app/node1/item-22043 | Message ID: 43 | Time sentFromSrcR: 42.392480 | Time receivedFromSrcR: 42.392536 |End 
Source: /app/node1/item-22044 | Message ID: 44 | Time sentFromSrcR: 43.492480 | Time receivedFromSrcR: 43.492536 |End 
Source: /app/node3/item-22043 | Message ID: 43 | Time sentFromSrcR: 44.128342 | Time receivedFromSrcR: 44.128517 |End 
Source: /app/node3/item-22044 | Message ID: 44 | Time sentFromSrcR: 44.142182 | Time receivedFromSrcR: 44.142357 |End 
Source: /app/node3/item-22045 | Message ID: 45 | Time sentFromSrcR: 44.156022 | Time receivedFromSrcR: 44.156197 |End 
Source: /app/node1/item-22045 | Message ID: 45 | Time sentFromSrcR: 44.592480 | Time receivedFromSrcR: 44.592537 |End 
Source: /app/node1/item-22046 | Message ID: 46 | Time sentFromSrcR: 45.142480 | Time receivedFromSrcR: 45.142537 |End 
Source: /app/node3/item-22046 | Message ID: 46 | Time sentFromSrcR: 45.228349 | Time receivedFromSrcR: 45.228531 |End 
Source: /app/node1/item-22047 | Message ID: 47 | Time sentFromSrcR: 46.242480 | Time receivedFromSrcR: 46.242539 |End 
Source: /app/node3/item-22046 | Message ID: 46 | Time sentFromSrcR: 46.328357 | Time receivedFromSrcR: 46.328547 |End 
Source: /app/node3/item-22047 | Message ID: 47 | Time sentFromSrcR: 46.342197 | Time receivedFromSrcR: 46.342387 |End 
Source: /app/node1/item-22048 | Message ID: 48 | Time sentFromSrcR: 47.342480 | Time receivedFromSrcR: 47.342541 |End 
Source: /app/node3/item-22048 | Message ID: 48 | Time sentFromSrcR: 47.428366 | Time receivedFromSrcR: 47.428565 |End 
Source: /app/node1/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.442480 | Time receivedFromSrcR: 48.442543 |End 
Source: /app/node3/item-22049 | Message ID: 49 | Time sentFromSrcR: 48.528376 | Time receivedFromSrcR: 48.528584 |End 
Source: /app/node1/item-22050 | Message ID: 50 | Time sentFromSrcR: 49.542480 | Time receivedFromSrcR: 49.542546 |End 
Source: /app/node3/item-22050 | Message ID: 50 | Time sentFromSrcR: 49.628386 | Time receivedFromSrcR: 49.628605 |End 
Source: /app/node3/item-22051 | Message ID: 51 | Time sentFromSrcR: 50.178392 | Time receivedFromSrcR: 50.178616 |End 
Source: /app/node1/item-22051 | Message ID: 51 | Time sentFromSrcR: 50.642480 | Time receivedFromSrcR: 50.642549 |End 
Source: /app/node1/item-22052 | Message ID: 52 | Time sentFromSrcR: 51.192480 | Time receivedFromSrcR: 51.192551 |End 
Source: /app/node3/item-22052 | Message ID: 52 | Time sentFromSrcR: 51.278403 | Time receivedFromSrcR: 51.278638 |End 
Source: /app/node1/item-22053 | Message ID: 53 | Time sentFromSrcR: 52.292480 | Time receivedFromSrcR: 52.292554 |End 
Source: /app/node3/item-22053 | Message ID: 53 | Time sentFromSrcR: 52.928420 | Time receivedFromSrcR: 52.928671 |End 
Source: /app/node1/item-22054 | Message ID: 54 | Time sentFromSrcR: 53.392480 | Time receivedFromSrcR: 53.392559 |End 
Source: /app/node3/item-22054 | Message ID: 54 | Time sentFromSrcR: 53.478425 | Time receivedFromSrcR: 53.478682 |End 
Source: /app/node1/item-22055 | Message ID: 55 | Time sentFromSrcR: 54.492480 | Time receivedFromSrcR: 54.492563 |End 
Source: /app/node1/item-22056 | Message ID: 56 | Time sentFromSrcR: 55.592480 | Time receivedFromSrcR: 55.592568 |End 
Source: /app/node3/item-22055 | Message ID: 55 | Time sentFromSrcR: 55.628444 | Time receivedFromSrcR: 55.628718 |End 
Source: /app/node3/item-22056 | Message ID: 56 | Time sentFromSrcR: 55.642284 | Time receivedFromSrcR: 55.642558 |End 
Source: /app/node1/item-22057 | Message ID: 57 | Time sentFromSrcR: 56.142480 | Time receivedFromSrcR: 56.142570 |End 
Source: /app/node1/item-22058 | Message ID: 58 | Time sentFromSrcR: 57.237840 | Time receivedFromSrcR: 57.237931 |End 
Source: /app/node3/item-22057 | Message ID: 57 | Time sentFromSrcR: 57.278454 | Time receivedFromSrcR: 57.278738 |End 
Source: /app/node3/item-22058 | Message ID: 58 | Time sentFromSrcR: 57.292294 | Time receivedFromSrcR: 57.292578 |End 
Source: /app/node1/item-22059 | Message ID: 59 | Time sentFromSrcR: 58.337840 | Time receivedFromSrcR: 58.337932 |End 
Source: /app/node3/item-22057 | Message ID: 57 | Time sentFromSrcR: 58.882961 | Time receivedFromSrcR: 58.883251 |End 
Source: /app/node3/item-22059 | Message ID: 59 | Time sentFromSrcR: 58.896801 | Time receivedFromSrcR: 58.897091 |End 
Source: /app/node1/item-22060 | Message ID: 60 | Time sentFromSrcR: 59.428256 | Time receivedFromSrcR: 59.428348 |End 
Source: /app/node3/item-22060 | Message ID: 60 | Time sentFromSrcR: 59.446802 | Time receivedFromSrcR: 59.447092 |End 
Source: /app/node1/item-22061 | Message ID: 61 | Time sentFromSrcR: 60.528256 | Time receivedFromSrcR: 60.528350 |End 
Source: /app/node3/item-22057 | Message ID: 57 | Time sentFromSrcR: 61.028460 | Time receivedFromSrcR: 61.028751 |End 
Source: /app/node3/item-22061 | Message ID: 61 | Time sentFromSrcR: 61.042300 | Time receivedFromSrcR: 61.042591 |End 
Source: /app/node1/item-22062 | Message ID: 62 | Time sentFromSrcR: 61.628257 | Time receivedFromSrcR: 61.628351 |End 
Source: /app/node1/item-22063 | Message ID: 63 | Time sentFromSrcR: 62.178258 | Time receivedFromSrcR: 62.178352 |End 
Source: /app/node3/item-22062 | Message ID: 62 | Time sentFromSrcR: 62.628460 | Time receivedFromSrcR: 62.628749 |End 
