 | Time now: 10 | Time now: 1.109719 |End 
 | Time now: 10 | Time now: 1.659719 |End 
 | Time now: 14 | Time now: 2.209719 |End 
 | Time now: 14 | Time now: 2.759719 |End 
 | Time now: 14 | Time now: 3.309719 |End 
 | Time now: 15 | Time now: 3.859719 |End 
 | Time now: 18 | Time now: 4.409717 |End 
 | Time now: 18 | Time now: 4.959717 |End 
 | Time now: 18 | Time now: 5.509717 |End 
 | Time now: 21 | Time now: 6.059717 |End 
 | Time now: 21 | Time now: 6.609717 |End 
 | Time now: 22 | Time now: 7.159718 |End 
 | Time now: 23 | Time now: 7.709718 |End 
 | Time now: 25 | Time now: 8.259719 |End 
 | Time now: 25 | Time now: 8.809720 |End 
 | Time now: 25 | Time now: 9.359721 |End 
 | Time now: 26 | Time now: 9.909722 |End 
 | Time now: 28 | Time now: 10.459723 |End 
 | Time now: 28 | Time now: 11.009724 |End 
 | Time now: 29 | Time now: 11.559726 |End 
 | Time now: 30 | Time now: 12.109728 |End 
 | Time now: 31 | Time now: 12.659730 |End 
 | Time now: 31 | Time now: 13.209732 |End 
 | Time now: 31 | Time now: 13.759734 |End 
 | Time now: 33 | Time now: 14.309737 |End 
 | Time now: 33 | Time now: 14.859740 |End 
 | Time now: 34 | Time now: 15.409743 |End 
 | Time now: 34 | Time now: 15.959747 |End 
 | Time now: 36 | Time now: 16.509751 |End 
 | Time now: 36 | Time now: 17.059755 |End 
 | Time now: 36 | Time now: 17.609760 |End 
 | Time now: 38 | Time now: 18.159765 |End 
 | Time now: 38 | Time now: 18.709770 |End 
 | Time now: 39 | Time now: 19.259776 |End 
 | Time now: 39 | Time now: 19.809782 |End 
 | Time now: 40 | Time now: 20.359789 |End 
 | Time now: 41 | Time now: 20.909796 |End 
 | Time now: 44 | Time now: 23.209830 |End 
 | Time now: 44 | Time now: 23.759838 |End 
 | Time now: 46 | Time now: 24.309846 |End 
 | Time now: 46 | Time now: 24.859853 |End 
 | Time now: 47 | Time now: 25.409860 |End 
 | Time now: 47 | Time now: 25.959866 |End 
 | Time now: 50 | Time now: 27.559878 |End 
 | Time now: 53 | Time now: 28.109881 |End 
 | Time now: 70 | Time now: 34.809903 |End 
 | Time now: 72 | Time now: 52.809908 |End 
 | Time now: 68 | Time now: 54.409897 |End 
 | Time now: 65 | Time now: 56.009890 |End 
