RESULTS FILE 
Author: João Patrício (castanheirapatricio@ua.pt)
Started simulation at Tue Sep 17 02:50:00 2019
elapsed time: 4.8e-08s
Source: Wf:00:00:00:00:01 | Message ID: 1 | Time SentFromSrc: 1.142480 |End 
Source: Wf:00:00:00:00:01 | Message ID: 2 | Time SentFromSrc: 1.156320 |End 
Source: Wf:00:00:00:00:01 | Message ID: 3 | Time SentFromSrc: 1.170160 |End 
Source: Wf:00:00:00:00:01 | Message ID: 4 | Time SentFromSrc: 1.184000 |End 
Source: Wf:00:00:00:00:01 | Message ID: 5 | Time SentFromSrc: 1.197840 |End 
Source: Wf:00:00:00:00:01 | Message ID: 6 | Time SentFromSrc: 1.211680 |End 
Source: Wf:00:00:00:00:01 | Message ID: 7 | Time SentFromSrc: 1.225520 |End 
Source: Wf:00:00:00:00:01 | Message ID: 8 | Time SentFromSrc: 1.239360 |End 
Source: Wf:00:00:00:00:01 | Message ID: 9 | Time SentFromSrc: 1.253200 |End 
Source: Wf:00:00:00:00:01 | Message ID: 10 | Time SentFromSrc: 1.267040 |End 
Source: Wf:00:00:00:00:01 | Message ID: 11 | Time SentFromSrc: 1.280880 |End 
Source: Wf:00:00:00:00:01 | Message ID: 12 | Time SentFromSrc: 1.294720 |End 
Source: Wf:00:00:00:00:01 | Message ID: 13 | Time SentFromSrc: 1.308560 |End 
Source: Wf:00:00:00:00:01 | Message ID: 14 | Time SentFromSrc: 1.322400 |End 
Source: Wf:00:00:00:00:01 | Message ID: 15 | Time SentFromSrc: 1.336240 |End 
Source: Wf:00:00:00:00:01 | Message ID: 16 | Time SentFromSrc: 1.350080 |End 
Source: Wf:00:00:00:00:01 | Message ID: 17 | Time SentFromSrc: 1.363920 |End 
Source: Wf:00:00:00:00:01 | Message ID: 18 | Time SentFromSrc: 1.377760 |End 
Source: Wf:00:00:00:00:01 | Message ID: 19 | Time SentFromSrc: 1.391600 |End 
Source: Wf:00:00:00:00:01 | Message ID: 20 | Time SentFromSrc: 1.405440 |End 
Source: Wf:00:00:00:00:01 | Message ID: 21 | Time SentFromSrc: 1.419280 |End 
Source: Wf:00:00:00:00:01 | Message ID: 22 | Time SentFromSrc: 1.433120 |End 
Source: Wf:00:00:00:00:01 | Message ID: 23 | Time SentFromSrc: 1.446960 |End 
Source: Wf:00:00:00:00:01 | Message ID: 24 | Time SentFromSrc: 1.460800 |End 
Source: Wf:00:00:00:00:01 | Message ID: 25 | Time SentFromSrc: 1.474640 |End 
Source: Wf:00:00:00:00:01 | Message ID: 26 | Time SentFromSrc: 1.488480 |End 
Source: Wf:00:00:00:00:01 | Message ID: 27 | Time SentFromSrc: 1.502320 |End 
Source: Wf:00:00:00:00:01 | Message ID: 28 | Time SentFromSrc: 1.516160 |End 
Source: Wf:00:00:00:00:01 | Message ID: 29 | Time SentFromSrc: 1.530000 |End 
Source: Wf:00:00:00:00:01 | Message ID: 30 | Time SentFromSrc: 1.543840 |End 
Source: Wf:00:00:00:00:01 | Message ID: 31 | Time SentFromSrc: 1.557680 |End 
Source: Wf:00:00:00:00:01 | Message ID: 32 | Time SentFromSrc: 1.571520 |End 
Source: Wf:00:00:00:00:01 | Message ID: 33 | Time SentFromSrc: 1.585360 |End 
Source: Wf:00:00:00:00:01 | Message ID: 34 | Time SentFromSrc: 1.599200 |End 
Source: Wf:00:00:00:00:01 | Message ID: 35 | Time SentFromSrc: 1.613040 |End 
Source: Wf:00:00:00:00:01 | Message ID: 36 | Time SentFromSrc: 1.626880 |End 
Source: Wf:00:00:00:00:01 | Message ID: 37 | Time SentFromSrc: 1.640720 |End 
Source: Wf:00:00:00:00:01 | Message ID: 38 | Time SentFromSrc: 1.654560 |End 
